subject,language,vowel,env,F1,F2
JP1,j,u,p,343.5515764,1375.447324
JP1,j,u,b,417.4022515,1450.437469
JP1,j,u,k,408.9605684,1462.445156
JP1,j,u,g,503.3735198,1426.446879
JP1,j,u,z,377.6028422,1735.959815
JP1,j,u,z,379.345403,1728.868826
JP1,j,u,g,454.2831321,1403.822623
JP1,j,u,b,384.6061442,1446.014959
JP1,j,u,p,432.1005699,1386.813354
JP1,j,u,k,486.5879467,1010.745361
JP1,j,u,p,100.8826277,940.552328
JP1,j,u,b,457.7531007,1398.958244
JP1,j,u,z,525.6477307,1738.739079
JP1,j,u,g,407.9362384,1420.896632
JP1,j,u,k,363.8894755,1415.018638
JP2,j,u,p,480.6455425,1278.319206
JP2,j,u,b,463.8427328,1498.498227
JP2,j,u,k,437.4213483,1321.821961
JP2,j,u,g,351.6651049,1505.768682
JP2,j,u,z,464.0981093,1629.228597
JP2,j,u,z,468.2982541,1575.300209
JP2,j,u,g,458.2188385,1594.954291
JP2,j,u,b,443.1060978,900.7834
JP2,j,u,p,465.5878421,1613.637903
JP2,j,u,k,445.3828649,1358.059424
JP2,j,u,p,381.8066854,1283.274933
JP2,j,u,b,463.0594652,1357.883777
JP2,j,u,z,461.4977391,1427.008672
JP2,j,u,g,418.0698845,1357.917774
JP2,j,u,k,457.1730214,1347.62881
TK1,t,I,k,433.9375447,1601.729369
TK1,t,I,p,236.6449662,1498.473475
TK1,t,I,b,461.3314336,1506.682391
TK1,t,I,g,476.2056624,1800.939951
TK1,t,I,z,439.467187,1469.100042
TK1,t,I,p,443.7501887,1558.227677
TK1,t,I,b,478.8091793,1532.36659
TK1,t,I,g,505.0499977,1829.077822
TK1,t,I,k,459.3717616,1542.356858
TK1,t,I,z,488.4286122,1529.510847
TK1,t,I,g,427.154797,1886.470826
TK1,t,I,z,434.7994187,1522.016247
TK1,t,I,p,46.13820999,1706.509345
TK1,t,I,k,485.2382801,1689.588804
TK1,t,I,b,476.8391392,1519.458736
TK2,t,I,k,482.2514394,2096.872533
TK2,t,I,p,489.7916222,1810.372592
TK2,t,I,b,495.5216733,1925.833468
TK2,t,I,g,439.1796433,2230.144091
TK2,t,I,z,454.1906873,1836.523775
TK2,t,I,p,478.9210563,1937.959038
TK2,t,I,b,489.1541559,1630.390082
TK2,t,I,g,444.1522168,2304.876114
TK2,t,I,k,426.028108,2052.45508
TK2,t,I,z,486.7461849,1914.228513
TK2,t,I,g,476.4223683,2269.743373
TK2,t,I,z,457.8117103,1880.318766
TK2,t,I,p,566.1567938,1850.14919
TK2,t,I,k,432.4145122,2003.154319
TK2,t,I,b,389.8942294,1958.218699
